taxon_name	CON_18018_1	CON_18018_2	CON_18018_3	CON_18018_5	CON_18018_6	CON_19007_1	CON_19007_2	CON_19009_1	CON_19009_2	CON_19010_1	CON_19011_1	CON_19012_1	CON_19016_1	CON_19017_1	CON_19018_1	CON_19019_1	CON_19020_1	CON_19021_1	CON_19024_1	CON_19027_1	CON_19028_1	CON_19029_1	CON_19031_1	CON_19032_1	CON_19033_1	CON_19034_1	CON_19035_1	CON_19036_1	CON_19037_1	CON_19041_1	CON_19042_1	DCA_18002_1	DCA_18002_4	DCA_18002_5	DCA_18002_8	DCA_18003_1	DCA_18003_4	DCA_18003_5	DCA_18003_7	DCA_18019_2	DCA_18019_3	DCA_18019_4	DCA_18019_5	DCA_18021_11	DCA_18021_3	DCA_18021_4	DCA_18021_5	DCA_18021_6	DCA_18021_7	DCA_18021_8	DCA_18021_9	DCA_18024_1	DCA_18024_3	DCA_18024_4	DCA_18024_5	DCA_19001_1	DCA_19001_3	DCA_19001_4	DCA_19001_5	DCA_19014_1	DCA_19014_3	DCA_19014_4	DCA_19023_1	DCA_19023_3	DCA_19023_4	DCA_19026_1	DCA_19026_3	DCA_19026_4	DC_18001_1	DC_18004_1	DC_18004_4	DC_18004_5	DC_18004_6	DC_18005_1	DC_18005_4	DC_18005_5	DC_18005_6	DC_18006_2	DC_18006_4	DC_18006_5	DC_18006_6	DC_18007_1	DC_18007_4	DC_18007_5	DC_18008_1	DC_18008_4	DC_18008_5	DC_18008_6	DC_18009_1	DC_18009_3	DC_18009_6	DC_18009_8	DC_18011_1	DC_18011_4	DC_18011_5	DC_18011_6	DC_18012_1	DC_18012_10	DC_18012_14	DC_18012_16	DC_18012_2	DC_18012_7	DC_18012_8	DC_18012_9	DC_18020_2	DC_18020_3	DC_18020_4	DC_18022_1	DC_18022_11	DC_18022_12	DC_18022_2	DC_18022_5	DC_18022_6	DC_18022_7	DC_18022_8	DC_18026_1	DC_18026_3	DC_18026_4	DC_18026_5	DC_18029_1	DC_18029_3	DC_18029_4	DC_18029_6	DC_19030_1	sum	pre	
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group	0	4	0	0	0	48	86	43	117	22	0	34	70	0	107	11	96	0	0	11	0	160	0	34	36	116	35	89	128	70	84	301	265	247	297	123	193	500	24	22	95	143	107	0	27	89	42	36	0	0	0	21	0	24	9	48	0	6	0	84	156	125	288	27	69	327	274	305	55	6	12	31	13	7	5	0	302	0	225	265	52	365	243	44	198	97	178	154	11	0	17	0	33	12	28	19	36	0	0	353	19	0	0	0	36	8	46	0	22	37	0	0	2	3	16	55	25	48	12	92	168	50	93	357	9525	1.24%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella	203	171	208	374	343	22	33	26	13	62	35	36	58	28	21	54	27	24	25	31	14	18	48	10	19	21	34	47	17	64	14	31	46	54	23	59	225	29	398	18	47	38	88	31	69	10	41	31	40	26	22	33	25	43	51	0	26	44	17	40	0	0	0	0	15	23	12	13	29	92	73	32	137	155	73	40	40	60	20	42	65	73	24	36	62	46	62	61	112	98	52	264	140	247	315	38	241	264	275	62	167	368	317	265	27	21	43	124	30	24	134	154	103	134	190	42	33	24	32	33	13	19	35	19	9449	1.23%
d__Bacteria; k__norank_d__Bacteria; p__Deinococcota; c__Deinococci; o__Thermales; f__Thermaceae; g__Thermus	73	69	78	74	83	67	66	164	87	63	89	85	110	76	62	65	29	50	94	139	71	80	90	31	92	129	69	84	72	45	44	33	45	24	31	52	42	28	69	80	110	94	108	189	134	71	91	105	139	89	76	91	75	118	148	62	88	84	80	116	95	44	52	52	65	106	37	48	25	26	32	33	40	76	39	68	39	14	39	33	50	45	43	29	64	44	48	47	59	24	50	97	67	109	103	86	95	84	72	4	48	88	116	66	88	78	200	90	135	125	46	69	75	47	48	62	137	84	70	46	69	64	104	47	9087	1.18%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__unclassified_f__Rhizobiaceae	58	60	77	77	45	88	52	85	62	77	84	85	83	106	53	105	37	92	74	101	75	78	120	318	98	90	66	84	63	32	80	27	56	32	31	37	43	18	70	103	44	82	66	63	87	59	41	76	94	108	68	93	72	61	49	177	118	117	97	81	51	42	56	98	98	50	29	46	52	62	60	34	44	31	47	33	59	23	198	28	39	33	41	68	22	56	44	49	43	48	46	59	53	70	139	39	67	79	61	22	102	62	87	67	57	86	89	52	47	48	45	52	39	75	51	39	48	58	67	40	90	80	69	22	8366	1.09%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__unclassified_f__Enterobacteriaceae	38	106	79	90	96	29	86	31	29	47	47	51	43	61	44	49	17	67	47	101	36	52	64	23	54	41	58	23	32	19	40	38	44	44	44	41	34	23	22	29	101	110	105	95	135	69	99	114	111	91	55	98	81	103	77	28	65	54	49	39	0	29	28	14	36	88	25	41	25	65	83	50	80	52	63	56	43	7	33	38	37	61	48	36	45	66	52	60	54	72	47	104	110	98	139	109	84	197	76	0	120	127	204	144	89	72	87	128	162	150	61	170	126	81	127	62	95	53	96	44	36	47	46	40	8316	1.08%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	3	22	0	29	3	0	21	11	0	0	0	0	27	0	33	109	19	127	29	0	0	0	0	85	0	0	0	21	137	3	0	27	33	54	31	121	66	46	63	0	7	41	13	6	0	130	68	225	0	170	134	74	13	0	0	0	75	13	0	44	0	33	52	33	102	85	161	59	66	13	10	0	16	12	14	0	9	0	6	0	0	0	6	15	29	35	13	17	20	12	7	3506	21	384	312	3	262	19	6	0	33	0	0	0	104	4	0	8	0	30	21	14	4	0	0	16	0	42	90	0	0	34	0	67	7938	1.03%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium	0	15	109	32	14	173	0	227	162	78	141	181	143	188	121	174	92	224	165	141	149	112	149	135	219	122	59	100	100	65	93	8	11	9	19	9	8	35	72	19	38	28	0	32	51	0	0	19	33	23	40	37	31	46	63	150	153	117	103	88	116	103	78	68	95	0	0	0	0	34	2	18	33	7	12	29	0	0	5	0	0	0	10	67	0	0	9	23	11	45	0	12	0	68	94	24	34	21	58	0	22	22	14	0	35	33	35	16	56	75	29	39	15	0	10	85	61	57	17	88	114	41	128	0	6993	0.91%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	110	142	68	48	51	0	46	71	0	28	0	0	25	0	20	130	36	93	16	0	0	2	0	0	5	23	0	49	58	43	0	118	100	171	74	127	171	824	76	8	29	69	70	11	17	36	61	61	0	53	0	63	16	21	14	77	169	199	0	29	52	47	199	107	153	88	123	86	457	14	6	1	0	0	0	99	14	34	7	5	37	0	53	47	37	18	11	13	6	0	0	0	35	3	0	7	0	73	148	160	99	157	75	64	76	4	0	167	13	0	0	37	8	0	7	27	0	32	87	5	0	76	11	107	6920	0.9%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group	0	0	0	0	0	104	3	21	117	137	4	16	81	0	29	3	36	16	37	19	0	117	0	0	38	126	32	163	345	311	155	9	0	6	20	16	7	43	0	24	175	135	160	5	21	242	334	117	121	57	64	112	151	56	28	74	6	4	19	35	278	210	119	28	31	0	0	0	0	16	0	35	21	33	22	13	17	17	83	205	141	91	164	89	0	0	0	0	0	0	0	0	0	0	0	43	35	0	0	0	25	0	0	0	90	111	44	0	28	84	0	0	0	0	0	110	36	130	109	151	87	161	65	7	6880	0.9%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__unclassified_f__Comamonadaceae	144	114	136	57	125	44	12	97	51	43	80	129	97	62	66	56	21	40	75	67	58	81	120	26	136	75	98	57	32	17	20	38	4	0	6	0	13	0	15	0	24	0	14	29	36	0	11	19	3	19	86	14	3	31	32	72	123	70	66	62	34	40	66	97	230	29	17	16	4	76	88	29	20	19	18	3	9	0	1	4	0	7	0	5	0	15	5	12	12	132	32	0	130	3	231	41	123	104	96	0	181	297	171	215	6	21	19	139	37	71	158	0	12	91	69	37	43	19	20	32	53	50	82	12	6609	0.86%
