taxon_name	CON_18018_1	CON_18018_2	CON_18018_3	CON_18018_4	CON_18018_5	CON_18018_6	CON_19007_1	CON_19007_2	CON_19009_1	CON_19009_2	CON_19010_1	CON_19011_1	CON_19012_1	CON_19016_1	CON_19017_1	CON_19018_1	CON_19019_1	CON_19020_1	CON_19021_1	CON_19024_1	CON_19027_1	CON_19028_1	CON_19029_1	CON_19031_1	CON_19032_1	CON_19033_1	CON_19034_1	CON_19035_1	CON_19036_1	CON_19037_1	CON_19041_1	CON_19042_1	DCA_18002_1	DCA_18003_1	DCA_18019_2	DCA_18021_3	DCA_18021_4	DCA_18024_1	DCA_19001_1	DCA_19014_1	DCA_19023_1	DCA_19026_1	DC_18001_1	DC_18004_1	DC_18005_1	DC_18006_2	DC_18007_1	DC_18008_1	DC_18009_1	DC_18011_1	DC_18012_1	DC_18012_2	DC_18020_2	DC_18022_1	DC_18022_2	DC_18026_1	DC_18029_1	DC_19030_1	sum	pre	
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group	0	4	0	12	0	0	48	86	43	117	22	0	34	70	0	107	11	96	0	0	11	0	160	0	34	36	116	35	89	128	70	84	301	123	22	27	89	21	48	84	288	327	55	6	7	0	365	198	11	33	36	19	36	0	0	55	92	357	4013	1.12%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella	203	171	208	47	374	343	22	33	26	13	62	35	36	58	28	21	54	27	24	25	31	14	18	48	10	19	21	34	47	17	64	14	31	59	18	69	10	33	0	40	0	23	29	92	155	60	73	62	112	140	241	167	27	124	134	42	33	19	3940	1.1%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	93	76	50	22	80	65	20	159	61	22	67	52	109	83	42	47	63	5	52	53	105	35	53	50	20	104	36	69	66	0	21	60	19	0	45	252	65	164	32	76	19	127	120	18	44	5	20	21	41	103	142	139	157	65	101	152	27	42	3836	1.07%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__unclassified_f__Comamonadaceae	144	114	136	29	57	125	44	12	97	51	43	80	129	97	62	66	56	21	40	75	67	58	81	120	26	136	75	98	57	32	17	20	38	0	0	36	0	14	72	62	66	29	4	76	19	0	7	0	12	130	123	181	6	139	158	37	32	12	3518	0.98%
d__Bacteria; k__norank_d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema	0	0	0	0	0	0	0	0	37	333	49	2	0	0	0	20	0	156	33	127	6	10	93	0	14	28	52	65	91	180	326	179	10	6	187	29	218	23	212	239	55	0	0	7	35	7	49	0	0	0	0	0	236	3	0	18	282	0	3417	0.95%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__unclassified_f__Enterobacteriaceae	38	106	79	53	90	96	29	86	31	29	47	47	51	43	61	44	49	17	67	47	101	36	52	64	23	54	41	58	23	32	19	40	38	41	29	135	69	98	28	39	28	88	25	65	52	7	61	45	54	110	84	120	89	128	61	62	44	40	3293	0.92%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group	0	0	0	0	0	0	104	3	21	117	137	4	16	81	0	29	3	36	16	37	19	0	117	0	0	38	126	32	163	345	311	155	9	16	24	21	242	112	74	35	119	0	0	16	33	17	91	0	0	0	35	25	90	0	0	110	151	7	3137	0.87%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_XPB1014_group	0	0	0	0	0	0	20	0	127	57	43	39	28	86	26	120	188	50	149	191	34	37	69	17	64	126	88	85	75	55	131	56	0	0	55	60	174	75	73	141	61	0	0	0	0	0	0	0	0	0	0	0	198	0	0	63	62	0	2923	0.81%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	110	142	68	9	48	51	0	46	71	0	28	0	0	25	0	20	130	36	93	16	0	0	2	0	0	5	23	0	49	58	43	0	118	127	8	17	36	63	77	29	199	88	457	14	0	34	0	37	6	35	0	99	76	167	0	27	5	107	2899	0.81%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Aquabacterium	77	124	100	48	112	65	19	0	31	21	30	39	26	42	49	43	67	26	36	49	69	56	42	74	0	66	43	35	47	27	17	0	53	33	0	16	4	11	35	85	48	0	42	63	91	10	63	57	60	97	242	162	11	87	48	31	10	0	2839	0.79%
