Sample	Enterotype
DCA_18002_3	1
DCA_18002_7	1
DCA_18003_3	1
DCA_18003_6	1
DCA_18019_1	2
DCA_18019_6	2
DCA_18021_1	2
DCA_18021_10	2
DCA_18021_12	2
DCA_18021_2	2
DCA_18024_2	2
DCA_18024_6	2
DCA_19001_2	2
DCA_19001_6	2
DCA_19014_2	1
DCA_19014_6	3
DCA_19023_2	1
DCA_19023_6	3
DCA_19026_2	2
DCA_19026_6	3
DCA_19060_2	3
DCA_19060_6	3
DCA_19065_2	3
DCA_19065_6	3
DC_18001_2	1
DC_18004_3	1
DC_18004_7	1
DC_18005_3	1
DC_18006_3	1
DC_18007_3	1
DC_18007_6	1
DC_18007_7	1
DC_18008_3	1
DC_18009_2	1
DC_18009_7	1
DC_18011_3	2
DC_18011_7	2
DC_18012_13	2
DC_18012_15	2
DC_18012_5	2
DC_18012_6	2
DC_18020_1	2
DC_18020_5	2
DC_18022_14	2
DC_18022_16	2
DC_18022_3	2
DC_18022_4	2
DC_18026_2	2
DC_18026_6	2
DC_18029_2	2
DC_18029_7	2
DC_19030_2	2
DC_19043_2	3
DC_19043_6	3
DC_19046_2	3
DC_19046_6	3
DC_19052_3	3
DC_19052_7	3
DC_19061_2	3
DC_19061_6	3
DC_19063_2	3
DC_19063_6	3
